"individual","width_0.1","width_0.2","width_0.3","width_0.4","width_0.5","width_0.6","width_0.7","width_0.8","width_0.9","thickness_0.1","thickness_0.2","thickness_0.3","thickness_0.4","thickness_0.5","thickness_0.6","thickness_0.7","thickness_0.8","thickness_0.9"
"13192",36.886617108,54.6617623806,67.5220286844,77.5319654844,82.6295257998,83.4778679436,77.5920251052,66.853865403,47.3194737378,13.0429476504,20.808156123,27.1169187912,33.4281839436,31.4862562044,27.9077037984,25.7230350918,23.3556850386,20.0799332208
"13195",24.2665892874,37.3695965586,46.3485098682,56.906490708,62.7297714414,65.8228419126,65.5801009452,57.5120918844,46.833991803,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13196",33.245502597,42.9526388088,51.5661894252,57.5120918844,59.8168798326,64.7918184222,63.4579943436,58.483055754,44.2264032666,10.372797009,18.806168763,20.6279772606,23.2956254178,24.2665892874,24.1464700458,22.810143483,20.5053555348,17.3497229586
"13203",26.5713772356,36.4011351732,43.618299606,48.4130593332,50.837966523,54.4190214132,52.05167136,46.833991803,36.824055003,6.794244603,12.7401470622,16.1385206058,17.5324043052,17.4723446844,16.8642410238,15.653038671,14.9248157688,10.5554783556
"13435",50.2924249674,68.3703708282,77.2291648962,85.4798553036,91.3631956578,92.4567812532,88.6354878798,74.6816359806,54.2363400666,8.8562915838,22.3246615482,30.2725513674,34.459207434,34.5793266756,34.2164664666,34.6418887806,35.9156532384,31.5463158252
"13576",37.8550784934,51.3234484578,60.0596208,63.4579943436,64.3663961082,62.3644087482,58.6031749956,52.05167136,41.616312246,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13725",41.9816749392,57.694773231,68.5530521748,75.712659471,79.4738932236,82.7496450414,81.9013028976,73.6506124902,57.5120918844,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13726",46.2283906266,56.6637497406,67.0966063704,75.712659471,81.9613625184,86.0253968592,85.2371143362,77.289224517,60.4249834932,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13803",60.1822425258,75.9554004384,85.9052776176,88.938288468,90.7575944814,94.2160276458,91.3631956578,85.7826558918,66.7337461614,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13823",38.3405604282,54.1137183408,62.849890683,69.8268166326,75.712659471,78.2601883866,77.6545872102,71.708684751,57.5120918844,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13847",37.4922182844,47.0767327704,53.0226352296,59.4540196236,58.845915963,54.6617623806,52.7798942622,48.04769664,36.0958321008,8.1305711658,15.227616357,17.9578266192,19.8997543584,21.7791199926,21.7190603718,22.447283274,18.806168763,13.1030072712
"13850",32.6399014206,41.7389339718,49.5041424444,55.3899852828,59.5741388652,62.0015485392,59.8168798326,55.9355268384,45.3800484828,5.8232807334,10.798219323,15.8957796384,19.9598139792,20.6279772606,17.8977669984,17.5324043052,12.9228284088,9.8898175584
"13858",27.477276516,42.2244159066,49.261401477,57.9375141984,61.3959473628,62.6071497156,63.0926316504,62.2442895066,46.9566135288,9.0990325512,18.443308554,23.2956254178,25.600413366,27.4822814844,27.8451416934,26.0858953008,24.8721904638,17.7150856518
"13859",44.4090846132,54.841941243,62.6071497156,71.708684751,77.4118462428,78.6230485956,76.6836233406,74.3788353924,54.9645629688,10.7381597022,18.8662283838,23.4182471436,28.1504447658,30.1524321258,31.9116785184,30.2124917466,26.7540585822,21.0508970904
"1803933",38.938654152,56.4210087732,64.0035358992,70.494979914,75.8953408176,79.9593751584,78.8057299422,70.5550395348,52.477093674,12.1345458858,19.4142724236,24.812130843,29.4242092236,31.1208935112,34.3365857082,34.3991478132,27.1169187912,18.6860495214
"30336",58.3604340282,68.7357335214,76.8037425822,79.9593751584,82.3867848324,82.8097046622,80.504916714,75.1045558104,60.610167324,10.6155379764,14.5594530756,22.5674025156,29.241527877,32.3971604532,34.5192670548,32.2745387274,26.6939989614,17.655026031
"30762",37.5522779052,50.5952255556,61.5160666044,73.8933534576,81.4158209628,86.2681378266,85.722596271,79.5940124652,61.5761262252,11.7691831926,19.4142724236,26.6339393406,29.8471290534,29.8471290534,33.3656218386,34.3365857082,26.9367399288,15.0449350104
"30817",41.4361333836,60.5451027348,75.7727190918,81.2331396162,78.3828101124,81.9613625184,78.9884112888,75.2271775362,57.3919726428,12.3772868532,22.02186096,30.880655028,33.3656218386,28.2705640074,29.1814682562,27.602400726,29.3015874978,23.5383663852
"30824",48.7759195422,64.7317588014,74.3788353924,80.142056505,85.5999745452,84.08346912,85.6625366502,76.6210612356,63.8834166576,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30853",43.8009809526,64.7918184222,78.140069145,81.7786811718,86.7536197614,89.7866306118,88.08744384,80.930339028,62.0015485392,11.7691831926,22.0819205808,29.241527877,33.4882435644,36.4011351732,39.251464677,38.1603815658,32.3971604532,21.8391796134
"30854",28.5733645956,43.5582399852,51.688811151,51.3234484578,52.7798942622,62.2442895066,62.111657844,53.4480575436,32.457220074,8.8562915838,15.7731579126,25.600413366,30.5753519556,31.3035748578,25.7230350918,25.237553157,19.657013391,13.213116576
"30855",32.03179776,48.6558003006,59.5741388652,68.06757024,74.9844365688,82.3242227274,82.144043865,78.140069145,60.7878437022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30856",36.1583942058,49.9896243792,59.9395015584,68.4329329332,74.9844365688,80.2021161258,83.6605492902,80.930339028,66.853865403,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30857",25.7230350918,40.465169514,48.7759195422,54.1137183408,60.4249834932,61.698747951,60.6677244606,54.479081034,43.9236026784,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30858",42.7098978414,58.845915963,69.5240160444,79.716634191,88.8156667422,93.0023228088,90.6374752398,81.70610913,64.1862172458,9.7671958326,20.3852362932,28.878667668,32.03179776,33.670924911,35.3075495778,33.9737254992,29.604388086,15.4102977036
"30859",54.2363400666,60.5451027348,69.7667570118,79.8367534326,86.3907595524,88.875726363,87.2391016962,78.0174474192,59.884446906,11.4063229836,18.6860495214,24.2665892874,27.2996001378,34.7019484014,38.6458635006,35.0047489896,26.5113176148,18.806168763
"30860",25.600413366,35.9156532384,46.2283906266,53.6307388902,59.7568202118,60.4249834932,57.6347136102,52.1742930858,41.1333327954,10.5554783556,14.0739711408,18.443308554,22.5674025156,27.1794808962,26.2085170266,22.02186096,17.7150856518,12.01192416
"30861",22.810143483,35.1874303362,46.471131594,54.1137183408,62.1216677808,67.2192280962,65.8854040176,61.0305846696,48.7759195422,7.7652084726,13.3457482386,19.1715314562,21.8391796134,25.9657760592,29.604388086,34.7019484014,32.1544194858,24.6319519806
"30862",35.7930315126,52.5371532948,63.3353726178,72.3743455482,74.6190738756,77.289224517,71.8288039926,64.5490774548,52.1742930858,7.4023482636,12.3772868532,15.5304169452,22.3246615482,27.7850820726,33.670924911,33.0027616296,25.237553157,19.1715314562
"30863",38.7059231214,50.7178472814,58.7257967214,64.1862172458,67.5820883052,69.0385341096,66.853865403,61.0305846696,47.8049556726,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30864",25.8431543334,42.4070972532,55.8129051126,64.5490774548,72.7997678622,73.1651305554,72.922389588,69.1611558354,51.9315521184,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30865",39.4341460236,47.1993544962,54.3564593082,62.9725124088,67.6446504102,72.4369076532,72.3142859274,66.1256425008,56.4210087732,10.435359114,16.1385206058,20.3226741882,24.2665892874,26.5113176148,26.8741778238,26.5113176148,19.8371922534,11.8292428134
