assessment,knapper,width_0.1,width_0.2,width_0.3,width_0.4,width_0.5,width_0.6,width_0.7,width_0.8,width_0.9,thickness_0.1,thickness_0.2,thickness_0.3,thickness_0.4,thickness_0.5,thickness_0.6,thickness_0.7,thickness_0.8,thickness_0.9,max_length
7,14,25.55748,40.9448,47.84852,53.7972,58.05678,59.8551,58.05678,50.0888,38.70452,9.421,16.367,24.097,30.559,32.129,31.646,30.589,26.815,17.393,83.1088
8,14,46.52518,64.81318,74.69124,81.26476,85.34146,87.25154,86.18474,76.93152,59.01182,13.059,18.093,24.548,30.115,32.662,32.81,32.455,26.384,16.109,108.9914
9,14,27.68854,37.60216,49.61128,58.31332,59.63666,63.16218,61.5442,56.25846,47.66564,12.453,19.257,21.565,21.079,20.806,21.93,25.393,22.112,15.673,85.1916
1,15,63.85814,67.82562,75.05954,82.51444,84.38642,91.80322,87.46998,84.09178,64.88684,43.482,67.11,76.072,73.842,68.439,63.508,58.533,53.216,39.322,125.4506
2,15,20.2692,37.8968,49.24298,59.15914,67.38366,68.63334,62.16904,53.83276,34.62782,16.178,21.712,30.239,35.5,40.822,43.03,45.782,40.671,29.09,113.1062
3,15,33.78454,53.54066,66.9798,76.0857,79.42834,83.98256,82.84464,75.86726,55.5244,36.405,42.054,42.417,42.689,36.284,33.172,32.175,32.87,26.616,113.8682
4,15,38.227,55.5244,68.3387,71.20382,80.23606,80.08874,74.98588,68.3387,56.4769,13.781,17.165,21.154,27.259,34.482,33.666,28.77,27.38,22.121,119.9642
5,15,23.90648,39.2557,57.28462,69.3674,70.6882,71.13016,67.53098,56.62422,41.71442,15.636,28.878,36.836,42.742,41.56,37.706,34.287,30.401,24.806,119.7102
1,16,67.3481,80.78724,88.57234,98.04654,103.1875,102.78364,91.72956,73.22312,54.01818,21.339,39.759,42.107,47.314,50.895,51.798,51.377,44.274,28.232,118.4656
2,16,24.83104,36.79444,43.80992,51.22672,62.86754,64.6303,64.70396,54.86146,32.35198,13.784,19.964,27.598,32.172,36.625,40.018,41.896,40.533,34.05,85.8266
3,16,21.6281,28.7909,34.07664,38.99916,40.2463,39.9542,37.34562,32.42564,24.31034,5.269,9.168,12.488,15.595,17.727,18.824,18.976,15.747,13.036,53.3908
4,16,15.71752,25.85212,32.60852,42.48658,45.57014,49.68494,50.97018,42.5958,32.131,6.309,10.911,14.629,17.494,19.81,21.883,23.346,21.212,14.995,70.6628
5,16,15.71752,28.90012,39.9161,48.17872,54.7878,58.5343,53.06314,46.85538,36.61156,8.595,15.361,20.207,24.443,27.674,29.411,28.222,25.327,9.082,67.7418
6,16,16.90624,27.09926,35.69208,43.88104,52.4383,60.73648,62.75832,53.31968,43.40606,6.062,10.821,13.155,16.368,20.641,24.642,26.794,22.824,13.458,79.1972
